Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,W4SHL,146.980000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Columbiana, Fire Tower",,,,
2,W4SHL,147.320000,+,0.600000,Tone,88.5,88.5,023,NN,Auto,5.00,,"Helena, Dearing Downs",,,,
3,W4CUE,146.880000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,"Birmingham, Shades Mountain",,,,
4,W4CUE,443.900000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Birmingham,,,,
5,,144.390000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Millbrook,,,,
6,W3NH,147.030000,-,0.600000,Tone,67.0,88.5,023,NN,FM,5.00,,Warrior,,,,
7,KF4IZY,144.980000,+,0.600000,Tone,233.6,88.5,023,NN,FM,5.00,,"Tuscaloosa, Near VA Medical center",,,,
8,N4BRC,145.190000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Pell City, Bald Rock Mountain ",,,,
9,WA4KIK,146.960000,-,0.600000,Tone,179.9,179.9,023,NN,Auto,5.00,,"Alexander City, Lake Martin",,,,
10,WX4CAL,146.780000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,"Anniston, Oak Mountain",,,,
11,WB4GNA,147.090000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,"Anniston, Cheaha Mountain",,,,
12,KI4PSG,147.255000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,Ashland,,,,
13,K4SCC,145.130000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Moody, Bald Rock Mountain",,,,
14,KK4BSK,146.760000,-,0.600000,Tone,114.8,88.5,023,NN,FM,5.00,,"Moody, Bald Rock Mountain",,,,
15,WB4YRJ,145.150000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Bessemer, Shades Mountain",,,,
16,W4TPA,147.280000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Birmingham,,,,
17,NU4A,145.390000,-,0.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Brent,,,,
18,WB4UQT,147.105000,+,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Clanton,,,,
19,W4WCA,147.390000,+,0.600000,Tone,110.9,88.5,023,NN,FM,5.00,,Jasper,,,,
20,KD4CIF,147.120000,+,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Corner,,,,
21,KK4BSK,146.760000,-,0.600000,Tone,88.5,88.5,023,NN,FM,5.00,,East Lake,,,,
22,K4YWE,145.330000,-,0.600000,Tone,179.9,179.9,023,NN,Auto,5.00,,Goodwater,,,,
23,WA4CYA,147.140000,+,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Hoover, Shades Mountain",,,,
24,N4MYI,146.640000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,Jasper,,,,
25,WB4ACN,146.900000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Jasper,,,,
26,KI4GEA,147.260000,+,0.600000,,88.5,88.5,023,NN,FM,5.00,,Jasper,,,,
27,N0ZO,145.290000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Randolph,,,,
28,K4VHF,146.620000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,"Moody, Bald Rock",,,,
29,WB4LYR,147.020000,+,0.600000,Tone,250.3,88.5,023,NN,FM,5.00,,Ohatchee,,,,
30,KE4QCY,145.450000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,Palmerdale,,,,
31,KK4BSK,146.760000,-,0.600000,Tone,94.8,88.5,023,NN,FM,5.00,,Pelham,,,,
32,AF4FN,146.655000,-,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,Sylacauga,,,,
33,N4WNL,146.740000,-,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,Talladega,,,,
34,K4BQP,146.805000,-,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,Talladega,,,,
35,WS4I,145.110000,-,0.600000,Tone,131.8,131.8,023,NN,FM,5.00,,Tuscaloosa,,,,
36,W4UAL,145.210000,-,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,"Tuscaloosa, Paty Hall",,,,
37,W4XI,146.820000,-,0.600000,Tone,118.8,88.5,023,NN,FM,5.00,,Tuscaloosa,,,,
38,WS4I,146.925000,-,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,Tuscaloosa,,,,
39,W4WYN,147.300000,+,0.600000,Tone,131.8,88.5,023,NN,FM,5.00,,Tuscaloosa,,,,
40,WA4CYA,146.840000,-,0.600000,Tone,156.7,88.5,023,NN,FM,5.00,,"Warrior, Bryant Mtn",,,,
41,,146.940000,-,0.600000,Tone,100.0,88.5,023,NN,FM,5.00,,montevallo,,,,
42,KD4EXS,147.375000,+,0.600000,Tone,123.0,123.0,023,NN,FM,5.00,,Marion,,,,
43,K4GR,444.225000,+,5.000000,,88.5,203.5,023,NN,FM,5.00,,Wetumpka,,,,
44,N4PHP,444.550000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Alabaster,,,,
45,KF4RGR,444.050000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,Anniston,,,,
46,WB4GNA,444.750000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,"Anniston, Cheaha Mountain",,,,
47,KA4KUN,444.620000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Bessemer, Tower next to Water Tank on Red Mountain",,,,
48,N4VSU,443.125000,+,5.000000,Tone,146.2,88.5,023,NN,FM,5.00,,Birmingham,,,,
49,KK4BSK,444.100000,+,5.000000,Tone,162.2,162.2,023,NN,Auto,5.00,,"Birmingham, Ruffner Mountain",,,,
50,KA5GET,444.650000,+,5.000000,Tone,131.8,88.5,023,NN,Auto,5.00,,"Birmingham, Red Mountain",,,,
51,WA4CYA,444.700000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Birmingham, Signal Mountain",,,,
52,AG4ZV,444.825000,+,5.000000,Tone,131.8,131.8,023,NN,FM,5.00,,"Birmingham, Ruffner Mountain",,,,
53,W4TPA,444.875000,+,5.000000,Tone,85.4,88.5,023,NN,FM,5.00,,Birmingham,,,,
54,WA4CYA,444.975000,+,5.000000,Tone,156.7,88.5,023,NN,Auto,5.00,,"Birmingham, Shades Mountain",,,,
55,KF4LQK,443.500000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Clanton,,,,
56,KC4EUA,444.600000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Columbiana, Columbiana Mountain",,,,
57,N5IV,442.300000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Cordova,,,,
58,KB4MDD,444.525000,+,5.000000,Tone,146.2,146.2,023,NN,Auto,5.00,,Dadeville,,,,
59,KF4RGR,443.675000,+,5.000000,Tone,203.5,88.5,023,NN,FM,5.00,,"Delta, Cheaha Mountain",,,,
60,W4YMW,444.725000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Forestdale,,,,
61,K4IZN,444.950000,+,5.000000,Tone,88.5,88.5,023,NN,FM,5.00,,Holtville,,,,
62,WB4UQT,444.475000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Jemison,,,,
63,WB4VBA,444.000000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Lineville,,,,
64,WR4Y,443.275000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,Parrish,,,,
65,W4TPA,444.150000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Pelham,,,,
66,KA5GET,442.650000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,Pinson,,,,
67,W4AI,444.200000,+,5.000000,Tone,179.9,179.9,023,NN,FM,5.00,,"Quinton, Flint Ridge",,,,
68,WB4CCQ,444.350000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Shelby, Lay Lake",,,,
69,N4PHP,442.000000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Shelby Co,,,,
70,KA5GET,443.650000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,"Springville, Simons Mountain",,,,
71,W4MD,442.150000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Tuscaloosa,,,,
72,W4XI,443.825000,+,5.000000,Tone,118.8,88.5,023,NN,FM,5.00,,Tuscaloosa,,,,
73,KG4RCK,443.725000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Wetumpka,,,,
74,KC4SIG,443.800000,+,5.000000,,88.5,156.7,023,NN,Auto,5.00,,Helena/Bessemer,,,,
75,W4ELX,443.300000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Tuscaloosa,,,,
76,WS4I,443.300000,+,5.000000,Tone,131.8,131.8,023,NN,FM,5.00,,Tuscaloosa,,,,
77,K4DSS,443.050000,+,5.000000,Tone,203.5,88.5,023,NN,FM,5.00,,Pell City,,,,
78,KK4BSK,443.175000,+,5.000000,,88.5,131.8,023,NN,FM,5.00,,Birmingham,,,,
79,KK4BSK,443.700000,+,5.000000,Tone,131.8,88.5,023,NN,FM,5.00,,Birmingham,,,,
80,N4BRC,444.725000,+,5.000000,Tone,156.7,88.5,023,NN,FM,5.00,,"Pell City, Bald Rock Mtn",,,,
81,W4TCT,442.925000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,"Odenville, Bald Rock Mountain",,,,
82,N4MYI,444.050000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,Jasper,,,,
83,6m Call,52.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
84,2m Call,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
85,220 Call,223.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
86,70cm Call,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
87,WX1PA7,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
88,WX2PA1,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
89,WX3PA4,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
90,WX4PA2,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
91,WX5PA3,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
92,WX6PA5,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
93,WX7PA6,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
94,WX8,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
95,WX9,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
96,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
97,FRS1,462.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
98,FRS2,462.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
99,FRS3,462.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
100,FRS4,462.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
101,FRS5,462.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
102,FRS6,462.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
103,FRS7,462.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
104,FRS8,467.562500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
105,FRS9,467.587500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
106,FRS10,467.612500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
107,FRS11,467.637500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
108,FRS12,467.662500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
109,FRS13,467.687500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
110,FRS14,467.712500,,5.000000,,88.5,88.5,023,NN,NFM,12.50,,,,,,
111,GMRS1,462.550000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
112,GMRS2,462.575000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
113,GMRS3,462.600000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
114,GMRS4,462.625000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
115,GMRS5,462.650000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
116,GMRS6,462.675000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
117,GMRS7,462.700000,,5.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
118,Shelby SO,154.785000,,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,Sheriff Dispatch,,,,
119,Shelby 911,155.835000,split,153.995000,TSQL,107.2,107.2,023,NN,FM,5.00,,911 Dispatch (Multiple Departments),,,,
120,SMC HEAR,155.340000,,0.600000,TSQL,103.5,103.5,023,NN,NFM,5.00,,Shelby Medical Center,,,,
121,AlabasterPD1,154.890000,split,155.625000,TSQL,85.4,85.4,023,NN,FM,5.00,,Police Dispatch,,,,
122,AlabasterFD1,154.235000,split,153.815000,TSQL,151.4,151.4,023,NN,FM,5.00,,Fire Dispatch,,,,
123,AlabasterPD2,153.530000,split,159.870000,TSQL,192.8,192.8,023,NN,FM,5.00,,Police 2,,,,
124,Helena PD,154.740000,split,158.940000,TSQL,123.0,123.0,023,NN,FM,5.00,,Police Dispatch,,,,
125,Helena DPW,159.300000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Street Dept. / Utilities,,,,
126,Pelham FD,154.145000,split,151.145000,TSQL,131.8,131.8,023,NN,FM,5.00,,Fire,,,,
127,Pelham PD 1,460.100000,split,465.100000,TSQL,127.3,127.3,023,NN,FM,5.00,,Police Main Dispatch,,,,
128,Pelham PD 2,460.450000,split,465.450000,,88.5,88.5,023,NN,P25,5.00,,Police (Encrypted?),,,,
129,Pelham PD 4,453.825000,split,458.825000,,88.5,88.5,023,NN,FM,5.00,,Police,,,,
130,Pelham PD 3,453.875000,split,458.875000,,88.5,88.5,023,NN,FM,5.00,,Police,,,,
131,Calera FD 1,155.115000,split,159.555000,TSQL,71.9,71.9,023,NN,FM,5.00,,Fire Dispatch,,,,
132,Calera PD 1,159.240000,split,154.935000,TSQL,203.5,203.5,023,NN,FM,5.00,,Police Dispatch,,,,
133,Calera PD 2,155.722500,split,158.872500,,88.5,88.5,023,NN,FM,5.00,,Police,,,,
134,ColumbianaPD,151.295000,split,155.910000,TSQL,123.0,123.0,023,NN,FM,5.00,,Police,,,,
135,ColumbianaFD,155.055000,split,153.860000,,88.5,88.5,023,NN,FM,5.00,,Fire,,,,
136,MontevalloFD,154.905000,split,156.060000,TSQL,210.7,210.7,023,NN,FM,5.00,,Fire Ch.1,,,,
137,MontevalloPD,155.700000,split,150.775000,TSQL,123.0,123.0,023,NN,FM,5.00,,Police Ch.1,,,,
138,Vincent FD,154.310000,split,159.555000,,88.5,88.5,023,NN,FM,5.00,,Fire,,,,
139,CV Fire/EMS,154.400000,split,151.115000,TSQL,156.7,156.7,023,NN,NFM,5.00,,Fire/EMS Dispatch,,,,
140,Chelsea DPW,151.032500,split,159.142500,,88.5,88.5,023,NN,FM,5.00,,Public Works,,,,
141,6.98 Rpt,146.980000,split,146.380000,TSQL,88.5,88.5,023,NN,FM,5.00,,Shelby County ARC,,,,
142,7.32 Rpt,147.320000,split,147.920000,TSQL,88.5,88.5,023,NN,FM,5.00,,Shelby County ARC,,,,
143,N4PHP,53.750000,split,52.750000,TSQL,100.0,100.0,023,NN,FM,5.00,,N4PHP,,,,
144,WA4CYA,444.600000,split,449.600000,TSQL,156.7,156.7,023,NN,FM,5.00,,WA4CYA,,,,
145,AAR Ch 54,160.920000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Heart of Dixie Railroad Museum AAR Ch. 54,,,,
146,AAR Ch 62,161.040000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Heart of Dixie Railroad Museum AAR Ch. 62,,,,
147,AAR Ch 82,161.340000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Heart of Dixie Railroad Museum AAR Ch. 82,,,,
148,HDRM Ops 2,154.515000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Heart of Dixie Railroad Museum 2,,,,
149,HDRM Ops 3,154.540000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,Heart of Dixie Railroad Museum 3,,,,
150,HDRM Ops 1,153.005000,split,159.570000,,88.5,88.5,023,NN,FM,5.00,,Heart of Dixie Railroad Museum 1,,,,
151,EET Unicom,122.700000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Shelby Co. Airport Unicom,,,,
152,EET ASOS,134.325000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Shelby Co. ASOS,,,,
153,BHM Approach,123.800000,,0.600000,,88.5,88.5,023,NN,AM,5.00,,Birmingham Approach/Departure,,,,
154,Wan Bon Gas,35.360000,,0.600000,TSQL,131.8,131.8,023,NN,FM,5.00,,Wan Bon Gas Inc-Propane,,,,
